element_ID,element_general_type,element_length,element_length_type,element_width,element_width_type,element_thickness,element_thickness_type
12535,channel,NA,NA,4.130000114,unlimited observed,5.300000191,artificial
20001,levee,NA,NA,NA,NA,19.62999916,partial observed
20002,levee,NA,NA,600,unlimited observed,5,artificial
20005,channel,NA,NA,600,apparent,4.099999905,true (maximum)
20006,levee,NA,NA,600,unlimited observed,1.529999971,artificial
20008,levee,NA,NA,600,unlimited observed,3.049999952,artificial
20009,channel,NA,NA,291.25,apparent,1.120000005,true (maximum)
20010,levee,NA,NA,600,unlimited observed,4.409999847,artificial
20013,channel,NA,NA,262.4599915,apparent,3.140000105,true (maximum)
20014,levee,NA,NA,600,unlimited observed,3,artificial
20072,levee,NA,NA,350,unlimited observed,10.01000023,true (maximum)
20079,levee,NA,NA,NA,NA,73.19999695,partial eroded
20080,channel,NA,NA,NA,NA,2.299999952,partial observed
20087,terminal deposit,2921,unlimited observed,2387,true (maximum),1.399999976,true (maximum)
20088,terminal deposit,2293,unlimited observed,3053,unlimited observed,2.900000095,true (maximum)
20090,terminal deposit,2245,unlimited observed,2222,partial observed,0.800000012,true (maximum)
20091,terminal deposit,1942,partial eroded,965,partial eroded,0.899999976,true (maximum)
20093,terminal deposit,3190,unlimited observed,3187,unlimited observed,5.400000095,true (maximum)
20094,terminal deposit,2477,unlimited observed,3235,unlimited observed,1.899999976,true (maximum)
20096,terminal deposit,2292,unlimited observed,2488,partial observed,1.5,true (maximum)
20097,terminal deposit,2292,unlimited observed,3020,unlimited observed,3.700000048,true (maximum)
20102,terminal deposit,NA,NA,85.09999847,unlimited observed,6.400000095,partial observed
20103,terminal deposit,NA,NA,85.09999847,unlimited observed,1.299999952,true (maximum)
20104,terminal deposit,NA,NA,85.09999847,unlimited observed,5.300000191,true (maximum)
20105,terminal deposit,NA,NA,85.09999847,unlimited observed,4.099999905,partial observed
20106,terminal deposit,NA,NA,85.30000305,unlimited observed,11.19999981,partial observed
20107,channel,NA,NA,72.19999695,partial observed,6.599999905,true (maximum)
20108,channel,NA,NA,85.30000305,unlimited observed,1.399999976,true (not maximum)
20109,channel,NA,NA,63.09999847,partial observed,5.199999809,partial observed
20110,terminal deposit,NA,NA,200,true (maximum),20,true (maximum)
20111,terminal deposit,NA,NA,400,true (maximum),5.300000191,true (maximum)
20112,levee,2270,unlimited observed,776,true (maximum),1.399999976,true (maximum)
20139,levee,13600,unlimited observed,20000,unlimited observed,60,true (maximum)
22815,channel,NA,NA,NA,NA,12.17000008,apparent
22816,channel,NA,NA,NA,NA,6.619999886,apparent
22817,channel,NA,NA,NA,NA,7.949999809,apparent
22818,channel,NA,NA,NA,NA,14.09000015,apparent
